iter	Passed	Remaining
151	1161	6479
152	1167	6464
153	1169	6427
154	1172	6394
155	1174	6356
156	1178	6325
157	1180	6289
158	1182	6253
159	1184	6216
160	1185	6177
161	1187	6141
162	1189	6106
163	1195	6092
164	1197	6058
165	1199	6025
166	1201	5991
167	1203	5962
168	1211	5955
169	1213	5922
170	1215	5890
171	1217	5858
172	1219	5827
173	1224	5813
174	1226	5782
175	1228	5751
176	1232	5728
177	1234	5700
178	1241	5695
179	1243	5665
180	1246	5640
181	1248	5611
182	1253	5594
183	1256	5570
184	1258	5543
185	1260	5516
186	1262	5488
187	1264	5461
188	1270	5452
189	1272	5426
190	1274	5400
191	1276	5373
192	1278	5346
193	1283	5331
194	1285	5307
195	1287	5282
196	1291	5262
197	1293	5238
198	1295	5212
199	1298	5194
200	1300	5170
201	1305	5157
202	1307	5135
203	1310	5111
204	1311	5087
205	1313	5064
206	1315	5040
207	1321	5033
208	1323	5010
209	1325	4988
210	1328	4965
211	1329	4943
212	1332	4921
213	1336	4907
214	1338	4885
215	1340	4863
216	1341	4842
217	1344	4822
218	1350	4815
219	1352	4796
220	1354	4775
221	1356	4754
222	1358	4734
223	1364	4727
224	1366	4708
225	1369	4688
226	1371	4671
227	1382	4682
228	1384	4662
229	1386	4642
230	1388	4623
231	1394	4614
232	1396	4597
233	1398	4577
234	1400	4558
235	1402	4539
236	1404	4521
237	1410	4515
238	1412	4497
239	1414	4478
240	1416	4461
241	1418	4444
242	1420	4426
243	1423	4410
244	1425	4392
245	1427	4374
246	1429	4357
247	1431	4340
248	1433	4323
249	1435	4306
250	1437	4289
251	1439	4272
252	1441	4255
253	1443	4239
254	1448	4231
255	1450	4215
256	1452	4199
257	1455	4185
258	1457	4169
259	1462	4163
260	1465	4148
261	1467	4132
262	1469	4117
263	1471	4102
264	1473	4086
265	1478	4080
266	1480	4065
267	1483	4051
268	1485	4036
269	1487	4020
270	1489	4005
271	1495	4002
272	1497	3988
273	1499	3973
274	1501	3958
275	1503	3943
276	1508	3936
277	1510	3922
278	1516	3918
279	1519	3906
280	1528	3911
281	1530	3897
282	1532	3883
283	1534	3869
284	1540	3864
285	1542	3851
286	1544	3837
287	1546	3823
288	1548	3809
289	1554	3806
290	1556	3793
291	1558	3779
292	1560	3765
293	1562	3752
294	1564	3738
295	1569	3732
296	1571	3720
297	1573	3707
298	1575	3694
299	1577	3681
300	1579	3668
301	1585	3663
302	1587	3651
303	1589	3639
304	1592	3628
305	1594	3615
306	1599	3610
307	1601	3598
308	1603	3586
309	1605	3573
310	1607	3561
311	1609	3548
312	1618	3552
313	1620	3540
314	1623	3529
315	1625	3518
316	1628	3508
317	1630	3496
318	1632	3484
319	1633	3472
320	1636	3461
321	1642	3458
322	1644	3447
323	1646	3435
324	1648	3423
325	1650	3412
326	1654	3405
327	1657	3395
328	1659	3384
329	1661	3373
330	1663	3361
331	1665	3350
332	1671	3347
333	1673	3336
334	1675	3325
335	1677	3314
336	1679	3303
337	1680	3292
338	1685	3286
339	1687	3276
340	1689	3265
341	1691	3254
342	1693	3243
343	1695	3233
344	1701	3230
345	1703	3219
346	1705	3209
347	1707	3199
348	1709	3189
349	1711	3179
350	1714	3170
351	1716	3160
352	1719	3150
353	1721	3140
354	1722	3130
355	1728	3127
356	1730	3117
357	1732	3107
358	1734	3097
359	1736	3087
360	1738	3077
361	1743	3072
362	1745	3063
363	1749	3057
364	1752	3048
365	1754	3038
366	1764	3043
367	1766	3033
368	1768	3023
369	1770	3013
370	1772	3005
371	1775	2996
372	1777	2987
373	1779	2977
374	1780	2968
375	1786	2965
376	1789	2956
377	1791	2947
378	1792	2937
379	1794	2928
380	1796	2919
381	1801	2914
382	1804	2906
383	1806	2897
384	1808	2888
385	1810	2879
386	1812	2870
387	1816	2864
388	1818	2856
389	1820	2847
390	1822	2838
391	1824	2829
392	1826	2820
393	1831	2816
394	1833	2808
395	1835	2799
396	1837	2790
397	1839	2782
398	1841	2773
399	1848	2772
400	1852	2767
401	1855	2759
402	1856	2750
403	1863	2749
404	1865	2740
405	1867	2732
406	1869	2723
407	1871	2714
408	1877	2713
409	1879	2704
410	1881	2696
411	1883	2687
412	1885	2679
413	1887	2671
414	1892	2667
415	1894	2659
416	1896	2651
417	1898	2643
418	1900	2635
419	1902	2627
420	1908	2624
421	1910	2616
422	1912	2608
423	1914	2600
424	1916	2593
425	1921	2589
426	1923	2581
427	1925	2573
428	1927	2565
429	1929	2558
430	1931	2550
431	1935	2545
432	1937	2537
433	1939	2529
434	1941	2522
435	1945	2516
436	1947	2509
437	1954	2507
438	1956	2499
439	1958	2492
440	1960	2485
441	1962	2477
442	1968	2475
443	1970	2467
444	1972	2460
445	1976	2455
446	1981	2450
447	1983	2444
448	1986	2437
449	1987	2429
450	1989	2422
451	1991	2414
452	1999	2413
453	2001	2407
454	2003	2399
455	2005	2392
456	2007	2385
457	2011	2380
458	2013	2373
459	2016	2366
460	2018	2359
461	2019	2352
462	2021	2344
463	2027	2342
464	2030	2335
465	2032	2328
466	2034	2321
467	2036	2314
468	2038	2307
469	2043	2303
470	2045	2296
471	2046	2289
472	2048	2282
473	2050	2275
474	2052	2268
475	2056	2264
476	2058	2257
477	2060	2250
478	2062	2243
479	2064	2236
480	2066	2229
481	2070	2225
482	2073	2219
483	2076	2213
484	2078	2206
485	2080	2200
486	2083	2194
487	2085	2187
488	2087	2181
489	2089	2174
490	2090	2167
491	2096	2164
492	2098	2158
493	2100	2151
494	2102	2145
495	2104	2138
496	2106	2131
497	2113	2130
498	2114	2123
499	2116	2116
500	2118	2110
501	2120	2103
502	2126	2100
503	2128	2094
504	2130	2087
505	2131	2081
506	2133	2074
507	2135	2068
508	2142	2066
509	2144	2060
510	2146	2054
511	2148	2047
512	2150	2041
513	2156	2038
514	2159	2033
515	2161	2027
516	2162	2020
517	2165	2014
518	2167	2008
519	2169	2002
520	2171	1996
521	2173	1990
522	2175	1983
523	2177	1977
524	2181	1973
525	2183	1968
526	2185	1961
527	2187	1955
528	2190	1950
529	2198	1949
530	2200	1943
531	2201	1937
532	2204	1931
533	2206	1925
534	2208	1919
535	2213	1915
536	2215	1909
537	2216	1903
538	2219	1898
539	2221	1892
540	2226	1888
541	2229	1884
542	2233	1880
543	2235	1874
544	2237	1868
545	2244	1865
546	2247	1861
547	2249	1855
548	2251	1849
549	2253	1843
550	2259	1841
551	2262	1836
552	2264	1830
553	2266	1824
554	2268	1818
555	2273	1815
556	2275	1809
557	2277	1804
558	2279	1798
559	2281	1792
560	2283	1786
561	2293	1787
562	2295	1781
563	2297	1776
564	2301	1772
565	2305	1767
566	2307	1762
567	2309	1756
568	2312	1751
569	2318	1749
570	2321	1744
571	2324	1739
572	2326	1733
573	2328	1727
574	2334	1725
575	2336	1720
576	2338	1714
577	2340	1708
578	2342	1703
579	2348	1700
580	2350	1695
581	2352	1689
582	2354	1684
583	2356	1678
584	2358	1673
585	2363	1669
586	2365	1664
587	2367	1658
588	2369	1653
589	2371	1648
590	2373	1642
591	2376	1637
592	2378	1632
593	2380	1626
594	2381	1621
595	2383	1615
596	2388	1612
597	2390	1606
598	2392	1601
599	2394	1596
600	2396	1590
601	2398	1585
602	2400	1580
603	2402	1575
604	2404	1569
605	2406	1564
606	2417	1564
607	2419	1559
608	2421	1554
609	2424	1550
610	2427	1545
611	2429	1540
612	2431	1535
613	2433	1529
614	2435	1524
615	2437	1519
616	2442	1516
617	2444	1511
618	2446	1506
619	2448	1500
620	2450	1495
621	2452	1490
622	2455	1486
623	2457	1480
624	2460	1476
625	2462	1471
626	2464	1466
627	2466	1460
628	2471	1457
629	2474	1453
630	2476	1448
631	2478	1443
632	2480	1438
633	2486	1435
634	2489	1430
635	2491	1425
636	2492	1420
637	2494	1415
638	2496	1410
639	2499	1405
640	2501	1400
641	2503	1395
642	2505	1390
643	2507	1385
644	2511	1382
645	2514	1377
646	2515	1372
647	2517	1367
648	2519	1362
649	2524	1359
650	2527	1354
651	2529	1349
652	2531	1345
653	2533	1340
654	2534	1335
655	2541	1332
656	2543	1328
657	2546	1323
658	2549	1319
659	2551	1314
660	2553	1309
661	2555	1304
662	2557	1300
663	2559	1295
664	2561	1290
665	2566	1287
666	2568	1282
667	2570	1277
668	2572	1272
669	2574	1268
670	2576	1263
671	2581	1259
672	2583	1255
673	2585	1250
674	2587	1246
675	2589	1241
676	2591	1236
677	2598	1234
678	2600	1229
679	2602	1224
680	2604	1219
681	2606	1215
682	2608	1210
683	2610	1206
684	2612	1201
685	2614	1196
686	2616	1192
687	2619	1187
688	2625	1185
689	2627	1180
690	2629	1175
691	2631	1171
692	2639	1169
693	2641	1164
694	2643	1160
695	2645	1155
696	2649	1151
697	2657	1149
698	2659	1145
699	2661	1140
700	2663	1136
701	2665	1131
702	2670	1128
703	2672	1123
704	2675	1119
705	2677	1115
706	2679	1110
707	2685	1107
708	2687	1103
709	2689	1098
710	2691	1094
711	2693	1089
712	2695	1084
713	2700	1081
714	2703	1077
715	2705	1073
716	2707	1068
717	2709	1064
718	2710	1059
719	2713	1055
720	2715	1050
721	2717	1046
722	2719	1041
723	2720	1037
724	2726	1034
725	2729	1030
726	2731	1025
727	2733	1021
728	2734	1016
729	2736	1012
730	2747	1011
731	2749	1006
732	2751	1002
733	2756	999
734	2759	994
735	2761	990
736	2763	985
737	2765	981
738	2767	977
739	2776	975
740	2779	971
741	2780	966
742	2782	962
743	2789	959
744	2791	955
745	2793	951
746	2796	946
747	2798	942
748	2802	939
749	2804	934
750	2807	930
751	2809	926
752	2811	922
753	2816	918
754	2818	914
755	2821	910
756	2823	906
757	2825	901
758	2827	897
759	2834	895
760	2836	890
761	2838	886
762	2840	882
763	2843	878
764	2848	875
765	2850	870
766	2852	866
767	2854	862
768	2856	858
769	2865	855
770	2866	851
771	2868	847
772	2870	842
773	2873	838
774	2877	835
775	2880	831
776	2882	827
777	2884	823
778	2886	818
779	2888	814
780	2894	811
781	2896	807
782	2898	803
783	2900	799
784	2902	795
785	2907	791
786	2909	787
787	2911	783
788	2913	779
789	2915	774
790	2917	770
791	2920	766
792	2922	762
793	2924	758
794	2926	754
795	2929	750
796	2931	746
797	2933	742
798	2938	739
799	2940	735
800	2942	731
801	2944	727
802	2946	722
803	2948	718
804	2954	715
805	2957	711
806	2959	707
807	2961	703
808	2962	699
809	2967	696
810	2969	692
811	2971	688
812	2974	684
813	2975	680
814	2977	675
815	2985	673
816	2987	669
817	2989	665
818	2992	661
819	2994	657
820	2998	653
821	3001	649
822	3002	645
823	3004	641
824	3006	637
825	3008	633
826	3017	631
827	3019	627
828	3021	623
829	3023	619
830	3029	616
831	3032	612
832	3035	608
833	3037	604
834	3039	600
835	3043	597
836	3045	593
837	3047	589
838	3049	585
839	3051	581
840	3053	577
841	3058	573
842	3060	570
843	3062	566
844	3064	562
845	3066	558
846	3068	554
847	3075	551
848	3076	547
849	3078	543
850	3080	539
851	3082	535
852	3091	532
853	3093	528
854	3095	524
855	3097	521
856	3099	517
857	3105	513
858	3107	510
859	3109	506
860	3111	502
861	3113	498
862	3118	495
863	3120	491
864	3122	487
865	3124	483
866	3127	479
867	3129	475
868	3135	472
869	3137	468
870	3139	464
871	3141	461
872	3143	457
873	3147	453
874	3150	450
875	3152	446
876	3156	442
877	3158	438
878	3163	435
879	3166	431
880	3168	427
881	3170	424
882	3172	420
883	3174	416
884	3178	413
885	3180	409
886	3182	405
887	3184	401
888	3186	397
889	3188	394
890	3194	390
891	3196	387
892	3198	383
893	3200	379
894	3202	375
895	3204	371
896	3210	368
897	3212	364
898	3214	361
899	3216	357
900	3218	353
901	3230	350
902	3232	347
903	3233	343
904	3235	339
905	3238	335
906	3240	332
907	3242	328
908	3244	324
909	3246	321
910	3253	317
911	3256	314
912	3258	310
913	3260	306
914	3262	303
915	3267	299
916	3269	295
917	3271	292
918	3273	288
919	3275	284
920	3277	281
921	3280	277
922	3281	273
923	3283	270
924	3285	266
925	3287	262
926	3289	259
927	3294	255
928	3296	251
929	3298	248
930	3300	244
931	3302	240
932	3304	237
933	3310	233
934	3312	230
935	3314	226
936	3319	223
937	3324	219
938	3326	216
939	3328	212
940	3330	208
941	3332	205
942	3334	201
943	3340	198
944	3342	194
945	3344	190
946	3346	187
947	3348	183
948	3350	180
949	3353	176
950	3355	172
951	3357	169
952	3359	165
953	3361	162
954	3363	158
955	3365	154
956	3367	151
957	3369	147
958	3371	144
959	3373	140
960	3378	137
961	3381	133
962	3384	130
963	3386	126
964	3388	122
965	3392	119
966	3395	115
967	3396	112
968	3398	108
969	3400	105
970	3402	101
971	3404	98
972	3407	94
973	3409	91
974	3411	87
975	3413	83
976	3415	80
977	3417	76
978	3423	73
979	3425	69
980	3427	66
981	3429	62
982	3431	59
983	3436	55
984	3439	52
985	3441	48
986	3442	45
987	3444	41
988	3446	38
989	3455	34
990	3456	31
991	3458	27
992	3460	24
993	3462	20
994	3465	17
995	3467	13
996	3469	10
997	3471	6
998	3473	3
999	3482	0
